Text,Score
حرب اوكرانيا,2.5
الحرب علي غزه عمليات للمقاومه بجباليا واسرائيل تعتقل بجنوب لبنان,1.1
كيف قرا اهالي غزه اتفاق وقف اطلاق النار في لبنان,3.4
كيف يبدو اتفاق وقف اطلاق النار بين حزب الله واسرائيل علي الخرائط,2.0
لوفيغارو اسباب دفعت اسرائيل للقبول بوقف اطلاق النار في لبنان,2.2
اتفاق وقف النار حسابات الربح والخساره بين نتنياهو وحزب الله,2.2
ازمه مركبه للسودانيين في لبنان ومطالب باجلائهم,1.2
محللون وقف اطلاق النار مع حزب الله هزيمه لنتنياهو,2.4
ماذا خلف اتفاق وقف اطلاق النار,2.9
اسباب استعجال اسرائيل للحل في لبنان والتباطؤ في غزه,1.1
وقف النار في لبنان اسرائيليا لا منتصر ولا مهزوم,3.5
رغم ان هناك خلافات في لبنان حول معني اتفاق وقف اطلاق النار فان الخلاف الاشد كان ولا يزال في اسرائيل ذاتها وليس فقط بين الحكومه والمعارضه وانما داخل الحكومه وفي الاوساط الشعبيه,1.8
وقف اطلاق النار في لبنان صامد والنازحون يتدفقون الي الجنوب,3.4
صمد وقف اطلاق النار بين اسرائيل وحزب الله اليوم الاربعاء بعد ان وافق الجانبان علي اتفاق لوقف اطلاق النار بينهما وبدات صفوف سيارات تقل نازحين فروا من جنوب لبنان في التوجه جنوبا في وقت مبكر اليوم,2.1
وقف النار في لبنان يعزز دعوات اسرائيليه لاتفاق مماثل بغزه,3.4
فورين بوليسي اسئله حول وقف اطلاق النار بين اسرائيل وحزب الله,2.1
قالت فورين بوليسي ان بايدن اعلن عن اتفاق بين اسرائيل وحزب الله علي وقف لاطلاق النار ينهي حربا استمرت اكثر من شهرا ادت لقتل نحو الاف لبناني واكثر من اسرائيلي ونزوح عشرات الالاف هنا وهناك,1.2
الحرب علي غزه مباشر عمليات للمقاومه بجباليا واسرائيل تعتقل بجنوب لبنان,1.1
حماس تعلق علي وقف اطلاق النار بلبنان وتتحدث عن محددات وقف العدوان علي غزه,2.5
اصابه صحفيين خلال تغطيه عوده الاف النازحين الي جنوب لبنان وجهود دبلوماسيه للتوصل الي اتفاق بشان غزه,0.8
اطلاق النار علي صحفيين اثناء تغطيتهم عوده السكان الي الجنوب والانسحاب الاسرائيلي واسرائيل تعلن حظر التجوال في محيط نهر الليطاني مع حديث واشنطن عن تحرك جديد لابرام اتفاق بشان غزه,0.6
كيف ينظر سكان غزه لاتفاق وقف اطلاق النار بين اسرائيل وحزب الله,2.0
يبدو ان ظروف الاتفاق في جبهه لبنان كانت اكثر ايجابيه ومرونه مما هي عليه في قطاع غزه وذلك يعود لقيام حزب الله بتوكيل مهمه المفاوضات الي الحكومه اللبنانيه وايضا لاعتبار ان لبنان هي دوله كبيره ذات سياده ولها علاقات كبيره مع كل دول العالم,1.0
عرض الصحف اليوم يتناول مقالا عن انتصار الدبلوماسيه في التوصل الي اتفاق لوقف اطلاق النار بين اسرائيل وحزب الله ومقالا يري الاتفاق بانه ليس نهايه للصراع بين الجانبين واخيرا هل يمثل الاتفاق انتصارا لجميع الاطراف خصوصا لبنان,1.1
نهر الليطاني الحد الفاصل لتطبيق اتفاق وقف اطلاق النار بين حزب الله واسرائيل فما اهميته,1.8
ما هي ابرز بنود اتفاق وقف اطلاق النار بين اسرائيل وحزب الله في لبنان,2.8
اعلن رئيس الوزراء الاسرائيلي بنيامين نتنياهو موافقه مجلس الوزراء الامني المصغر علي مشروع وقف اطلاق النار في لبنان,2.4
لماذا لا تستطيع قطر كوسيط ابرام اتفاق لوقف اطلاق النار بين اسرائيل وحماس,1.0
اختارت قطر لنفسها دور صانع السلام العالمي وعلي مدي العقدين الماضيين اضطلعت الدوله الخليجيه صغيره المساحه بالعديد من الوساطات لابرام اتفاقات لوقف اطلاق النار واتفاقيات سلام بين اطراف متنازعه في الشرق الاوسط واوروبا وافريقيا,0.6
